H.J. BOS TRANSPORT;HOOFDWEG 192;9626AL;SCHILDWOLDE
BOS TRAILERSERVICE BV;AMBACHTSWEG 18;3771MG;BARNEVELD
FARM TRANS MATERIEEL BV;MARK S.CLARKELAAN 17;4761RK;ZEVENBERGEN
BOS MECH. BV;SIBADAWEI 24;8734HE;EASTEREIN
BOS KRAANVERHUUR;ZANDUMERWEG 74;9821TH;OLDEKERK
ST. BOSBRANDWEER NRD-NED;J.H. DE BOERSTRAAT 35;9365PL;NIEBERT
BOSCH TRANSPORTBEDRIJF;ZUIDERDIEP 227;7876AL;VALTHERMOND
R. BOSGRAAF;BOOMKESDIEP 8;8602CP;SNEEK
A.F. BOSMA;HOGE DIJK 168;8463NN;ROTSTERHAULE
MAATSCHAP BOSMA;PEESTERWEG 8;9335TD;ZUIDVELDE
TRANSPORTBEDR.BOSKLOPPER;WEERDINGERKANAAL NZ 91;7831HG;NIEUW WEERDINGE
BOSSEWINKEL MACHINERY;COMPAGNONSWEG 12;9482WR;TYNAARLO
BUKO TRANSPORT BV;BEDRIJVENPARK 2;1940AM;BEVERWIJK
HENK BOUSEMA;VERL. BINNENWEG 4a;9488TA;ZEIJERVELD
AUTOBEDRIJF BOUWMAN B.V.;POP DIJKEMAWEG 35a;9731BB;GRONINGEN
BOUWMEESTER AUTOMAT. B.V.;HERACLESSTRAAT 10;5048CG;TILBURG
BOUWHEER ZEEWOLDE BV;INDUSTRIEWEG 18;3899AV;ZEEWOLDE
BOUWMAN LOGISTICS BV;UILENKADE 38;3336LP;ZWIJNDRECHT
A.R. BOUWMAN;GREVELING 42;9654PV;ANNERVEENSCHEKANAAL
BOVEN FOURAGE BV;GOLDHOORN 10;9684XR;FINSTERWOLDE
BOVEN TRANS. & LOGIS.;GARST 97;9673AD;WINSCHOTEN
BUWALDA TRANSPORT;SCHAPERWEG 3;9971AH;ULRUM
P. BUWALDA;VAN KOETSVELDLAAN 7;3273AL;WESTMAAS
BRAANKER TRANSPORT B.V.;NIEUWLAND 211;2952DC;ALBLASSERDAM
MARCO BRAAS TRANSPORT;WESTEINDE 289;1647MP;BERKHOUT
BRAAY TRANSPORT B.V.;CONCORDIASTRAAT 63;1951AS;VELSEN-NOORD
DEN BRABANDER AUTO'S;VERLENGDE STATIONSWEG 63;9471PK;ZUIDLAREN
BRAMBLES STEEL SERV. BV;WENCKEBACHSTRAAT 1-610;1951JZ;VELSEN-NOORD
BRAMMER GRONINGEN B.V.;LENINGRADWEG 4;9723TP;GRONINGEN
BRANDHOFF TRANSPORT BV;DE COMPAGNIE 57;1689AG;ZWAAG
V.O.F. J. BRANDSMA;KLIMOP 5;9301PK;RODEN
FA. H.J. BRANDT;NIJVERHEIDSPLEIN 14;1704RB;HEERHUGOWAARD
VEILIGHEIDSREGIO GRONINGEN;SONTWEG 10;9723AT;GRONINGEN
BRANDWEER ALKMAAR;HELDERSEWEG 8;1815AB;ALKMAAR
J. DEN BREEJEN MATERIEEL BV;RIJNLANDERWEG 1085;2132MP;HOOFDDORP
BRINKS CARR. TRAILERSERV.;TOPAASSTRAAT 18;7554TH;HENGELO
ANDRE BREED TECHNIEK;OUDIJK 27;1617KN;WESTWOUD
BREEDIJK TRANSPORT B.V.;DE VEKEN 208;1716KJ;OPMEER
JOHN BREIDER MECHANISATIE & MELKW.;HOOFDWEG 137;9627PC;HELLUM
LOONBEDRIJF BREMER B.V.;LEENSTERWEG 35;9971EA;ULRUM
G. BREMER;ACHTERWEG 5;9113PP;WOUTERSWOUDE
BREMER HANDEL & TRANSPORT BV;L.BOONSTRAWEG 3;9851AW;BURUM
G.B.S. BREKELING VOF;HOOFDWEG 159;9621AH;SLOCHTEREN
BREN;TUSSENDIEPEN 31a;9206AB;DRACHTEN
BREZAN AUTOMATERIALEN BV;LLOYDSDWEG 8;9641KK;VEENDAM
PLUIMVEEBEDRIJF BRIL B.V.;EMMERMARKEWEG 14-A;7844KD;VEENOORD
BRONTSEMA;SMYDINGHEWEG 41;9923PB;GARSTHUIZEN
A. V.D. BROEK;SUIKERBAKKER 53;3815ET;ERMELO
BROEKENS BV;TRUERDERDIJK 4 A;9051JC;STIENS
BROEKEMA WEGENBOUW BV;PEIZERWEG 148A;9727AR;GRONINGEN
BROEKEMA BV;HOOFDWEG 99;9626AC;SCHILDWOLDE
BROEKHUIS BEDR.WAGENS BARNEVELD BV;ENERGIEWEG 5;3771NA;BARNEVELD
BROEKVELDT BV;COMPAGNONSWEG 2;9482WR;TYNAARLO
AANNEMERSBEDR. R.BRONDIJK;NOORDERSTRAAT 265;9611AG;SAPPEMEER
A. BROUWER TRANSPORTBEDR.;MEDENERWEG 9;9833TD;ADUARD
BROUWER LOGISTIEK;BOKSLOOT DWARSWEG 30;7821AV;EMMEN
BROUWER TEGELHANDEL;KRUISWEG 463;1437CL;ROZENBURG (NH)
BROUWER ZWAARTRANSPORT;UTRECHTHAVEN 7;3433PN;NIEUWEGEIN
FA. BRONGERS;VOGELSHEMWEG 3;9514BT;GASSELTERNIJVEEN
J. BRONKHORST;TOLWEG 39;3851SL;ERMELO
BRONSEMA TRANSPORT BV;MIEDWEG 15A;9871PH;STROOBOS
R.W. BRONTSEMA TRANSPORT;SEENDWEG 32;9936GA;FARMSUM
VOF GEBR BRONTSEMA;ZIJLDIJKSTERWEG 8;9915TD;'T ZANDT
H.G BRONTSEMA TRANSPORT;KOSTERIJWEG 19;9922PK;WESTEREMDEN
BROSHUIS BV;INDUSTRIEWEG 22;8263AD;KAMPEN
A. BRUGGENKAMP;ORANJESTRAAT 2;9422ER;SMILDE
