PEETERS NEDERLAND B.V.;NEWTONWEG 17;3208KD;SPIJKENISSE
HARRY SCHIFFER;DE KOUMEN 146B;6433KE;HEERLEN
SCHEVERS SCHALKWIJK BV;PROVINCIALEWEG 41;3998JH;SCHALKWIJK
HARTEVELD TRANSPORT;SOLLEVELD 39;6715GW;EDE
LOONBEDRIJF KAPUT;HOOFDWEG 11;9695AA;BELLINGWOLDE
HAT INT.TRUCKING B.V.;STELMAKER 13;9502EG;STADSKANAAL
HANKOOK TIRE NETHERLANDS;BEECHAVENUE 102;1119PP;SCHIPHOL-RIJK
TRUCK&TRAILERGROEP ZWOLLE BV;OUDE MEPPELERWEG 2;8024AB;ZWOLLE
VISSPECIALIST `T LOOPERTJE;DE LOPER 81;3137DD;VLAARDINGEN
LOON-EN GRONDVERZ.VRIELINK-JOPPE BV;JOPPELAAN 81;7215AD;JOPPE
NETKO;ZOMPSTRAAT 2;8102HX;RAALTE
M.J. DE GROOT TRANSPORT BV;DE VIJF BOEKEN 11;2911BL;NIEUWERKERK AAN DEN IJSSEL
JAC VERHUUR VOF;A. EINSTEINLAAN 9;9615TE;KOLHAM
FESTO B.V.;SCHIEWEG 62;2627AN;DELFT
HANDELSOND. JAN UBAK;INDUSTRIEWEG 28 b;7951CX;STAPHORST
JAN JONKER EN ZN. BV;WOLVENKOOG 7;1822BE;ALKMAAR
WILCO DE BRUIJN TRANSPORT;STOPPELMAAD 7;8431ZB;OOSTERWOLDE
ANDRE HOLLESTELLE;ZIMMERMANWEG 5;4411RD;RILLAND
FRED HAGENS;BURG. VENING MEINSZLAAN 35;1063AV;AMSTERDAM
G.J. HAKKERS;ZENEGROEN 14;7772NG;HARDENBERG
INGRID ROETS (BOX L 32);JACHTHAVENWEG 61D;4311NC;BRUINISSE
RIJKSUNIVERSITEIT GRONINGEN;NADORSTPLEIN 2/A;9747AB;GRONINGEN
HANNO AUTOMATERIALEN BV;ALDENHOFWEG 1;6121SE;BORN
GEERLINGS TRANSPORT;SKUTSJE 128;8401MP;GORREDIJK
V. WIJGERDEN TRANSPORT;POLDERWEG OOST 16;2973AN;MOLENAARSGRAAF
DE HEUS TRANSPORT BV;VELDLAAN 31;3956RG;LEERSUM
ZWAAN TRANSPORT VOF;KERKEBUURT 1;1674ND;OPPERDOES
G EVENHUIS;GOUWE 54;1718LL;HOOGWOUD
TRANSP.BEDR. MARTIJN GONS;MEIDOORNLAAN 7;1394BZ;NEDERHORST DEN BERG
MANUEL JOSE DOS SANTOS AZANCOTH;ENGELSESTRAAT 21;3028CA;ROTTERDAM
ROVETRA INT. TRANSP.SERV.;BERKENSTRAAT 25;7844LJ;VEENOORD
E.J. VAN DIJK TRANSPORT;1e OOSTERSTRAAT 2a;1211LB;HILVERSUM
N. VAN STRAALEN;GROOTTE ZOMERDIJK 9;1687PE;WOGNUM
VTTS BV;VANDERLANDELAAN 1 A;5466RE;VEGHEL
SNIPPERHOUT BV;GIETERWEG 30;9462TE;GASSELTE
IFE TEBEL TECHNOLOGIES;CERESWEG 19;8938BG;LEEUWARDEN
DE BRUIN LOGISTICS BV;PR. BERNHARDWEG 30;3991DE;HOUTEN
J. SCHLIEKER & ZONEN BV;RIVIERDIJK 60;3361AR;SLIEDRECHT
KORT MECHANISATIE BV;ORANJEKANAAL NZ 26;9433TH;ZWIGGELTE
BAARDA;DE STAPEL 12;9036VN;MENALDUM
PROFILE TYRECENTER KOOS VAN ELK;NIJVERHEIDSSTRAAT 10a;6851EJ;HUISSEN
L.M.B. JAN KROL V.O.F;LANGEWEG 16;9861GD;GROOTEGAST
SAF / HOLLAND;NIJVERHEIDSWEG 50;3771ME;BARNEVELD
BOS TAPSERVICE;VAART ZUIDZIJDE 82;8426AH;APPELSCHA
VD SLUIS VOF;DE HORSTVANSTEENWIJKSTRAAT 94;7957BJ;DE WIJK
LOONBEDR. GIJSBERT TIJSSEN;RIJNBANDIJK 51;4043JJ;OPHEUSDEN
BLOEMERT EN DUNNINK;INDUSTRIEWEG 62;7951TA;STAPHORST
HARTMAN SEATRADE CV;KONINGSSCHUT 13;8903CC;TOLLEBEEK
PIETER J DE JONG;DINTELOORDSTRAAT 56B;3086VV;ROTTERDAM
BINKA VASTGOED BV;KITMANSTRAAT 18;1812PM;ALKMAAR
DUBBELDAM TRUCKCOATING;GRIENDWEG 100;4209DB;SCHELLUINEN
OLLIE'S AGROSERVICE;PATRIJS 11;9628ED;SIDDEBUREN
DIJKSTRA PLASTICS BV;INDUSTRIESTRAAT 30-34;7482EX;HAAKSBERGEN
NBK LOGISTICS;MALLEDIJK 3N;3208LA;SPIJKENISSE
LOONBEDRIJF COENEN;GESTRAATJE 53;6065AB;MONTFORT
M. HANZEN TRANSPORT;KONINGINNEPLEIN 13;4307BA;OOSTERLAND
TRANSITIEPARTNERS;MOLENSTEIJN 3A/2;3454PT;DE MEERN
HA-KA INTERNATIONAAL BV;HET ZANDSTUK 14;1851RR;HEILOO
GINAF SERVICE DEN BOSCH BV;GRAAF VAN SOLMSWEG 48;5222BP;'S HERTOGENBOSCH
HOLWEG CARGO SERVICE BV;WETH. HOPPENLAAN 3;5243XL;ROSMALEN
KNAPEN TRAILERS B.V.;THEO V DOESBURGSTRAAT 8;5753DL;DEURNE
FAB BEHEEER;MIEDDIJK 39b;90361C;MENALDUM
BLOEMENHUIS BALKEMA;MOLENWEG 1c;9781GL;BEDUM
KUIKEN NV (EMMELOORD);DUKAAT 1;8305BC;EMMELOORD
DEKKER SCHEEPVAART C.V.;GRIENDTSVEENSTRAAT 123;7887TK;ERICA
AUTO BEERDA B.V.;MR. ANDREASSTRAAT 24;9291MA;KOLLUM
ROB OOSTROM LOGISTIEK;RUBENSLAAN 3;3451JK;VLEUTEN
VAN DE HOEF TRANSPORT BV;KON. WILHELMINAWEG 505;3737BG;GROENEKAN
JONKER & SCHUT BV;HARSELAARSEWEG 33;3371MA;BARNEVELD
CN TRANS;WETH. D.M. PLOMPSTRAAT 11;3555BR;UTRECHT
UNION CONTAINER SERVICES;PROCESSORSTRAAT 3;1033NZ;AMSTERDAM
EUROMASTER ENSCHEDE;H. TER KUILESTRAAT 167;7547SK;ENSCHEDE
LASBEDRIJF L.J. GOEDHART;HANDELSWEG 1e;1693AZ;WERVERSHOOF
F.J. VAN TIEL;COEN BOTREDE 92;2901CK;CAPELLE AAN DEN IJSSEL
DAMEN HYDRAULIEK B.V.;BUSINESSPARK STEIN 410;6181MD;ELSLOO
BAKS LOGISTIEK HOLDING BV;JONKERPAD 7;7271LC;BORCULO
BAAN TWENTE B.V.;PROVINCIALEWEG ZUNA 2;7466PX;RIJSSEN
BEDR.WAGEN SERV.FRIESLAND B.V.;DE WIJMERTS 4;8701WT;BOLSWARD
BEDR.WAGEN SERV.FRIESLAND B.V.;MORSEWEG 17;8912BG;LEEUWARDEN
TRUCK SERVICE PLUS;INDUSTRIEWEG 13;2921LB;KRIMPEN AD IJSSEL
JAN BONENKAMP;RIJKSSTRAATWEG 66;3454JD;DE MEERN
SRO SCHOENMAKER,REP&ONDER;AVEBEWEG 43a;9563PP;TER APELKANAAL
METAALHANDEL WOLTERS;FOKKERSTRAAT 17;7903AT;HOOGEVEEN
KRONE TRAILER BV;AFSLAG 8;3981PD;BUNNINK
LIBILE INFRA TOOLS;BIJDORP-WEST 75;2992LC;BARENDRECHT
S. TOLSMA TRANSPORT;BURGEMEESTER WUITEWEG 73;9203KB;DRACHTEN
IDEAL IT SOLUTIONS BV;DONKER CURTIUSSTRAAT 7;1051JL;AMSTERDAM
HOGENBIRK TRANSPORT & DIENSTEN;JIPSINGBOERTANGERWEG 101;9551TN;SELLINGEN
HOUT EN BOUWMATERIALEN.NL;ROOILIJN 7;9231DZ;SURHUISTERVEEN
HELLINGMAN & ZN;DR.H.G. SCHOLTENSTRAAT 9;1508EB;ZAANDAM
VEEKEN TUINPROJECTEN;KALKOVENSWEG 1;1815KZ;ALKMAAR
BLAAUW HANDEL & TRANSPORT B.V.;LEEMANSSTRAAT 41;4251LD;WERKENDAM
GROTENS EN DE BIE CARAVANS;NIJVERHEIDSWEG 8 M;6651KS;DRUTEN
K.G.T. KOERIERSDIENST V.O.F.;SCHEIDINGSVLIET 9;1759LC;CALLANTSOOG
TRANSPORT SERVICE SNOEK;PLACOTIWEG 10;4131NL;VIANEN
STEENBERGEN FROOMBOSCH;LANGEWIJK 24;9619PK;FROOMBOSCH
CHIPS AWAY HEERENVEEN;JEVERWEG 1 (JOHAN TALMAN);9723JE;GRONINGEN
AUTOBEDRIJF BAS ANTEMA;VANSTOLBERGWEG 26a;9641HL;VEENDAM
MET JOHN MATERIEEL BV;KLOMPENMAKERSWEG 2a;3449JB;WOERDEN
VAN DIJK DE MEERN B.V.;TECHNIEKWEG 16;3481MK;HARMELEN
B&K MECHATRONICA;STREEKWEG 120;1616AM;HOOGKARSPEL
PYROBAN BENELUX B.V.;GROTENOORD 24;3341LT;HENDRIK-IDO-AMBACHT
ARIE DE GROOT TRANSPORT;CHRISTINEWEG 1;2961AB;KINDERDIJK
MET JOHN MATERIAAL BV;NOORDERLAAN 5;9944BT;NIEUWOLDA
FLORIDGISTICS;POTTENBAKKERSWEG 4;3449HZ;WOERDEN
KLUITMANS HAAREN B.V.;ZWARTRIJT 5;5056DD;BERKEL-ENSCHOT
AUTEMA AUTOMATERIALEN;GROOT OVEREEM 9-1;3927GH;RENSWOUDE
VAN ELTEREN TRANSPORT;DE KOLK 13;8255PA;SWIFTERBANT
HF BETONPOMP VERHUUR BV;VEENDERVELD 43;2371TT;ROELOFARENDSVEEN
MARTENS TRANSPORT VENRAY;TUINSTRAAT 2;5802AE;VENRAY
E SIEBELDER;VRAGENDERWEG 1;7121RK;AALTEN
AIRCO SERVICE ZWAAN;WESTERHEM 67;1462VB;MIDDENBEEMSTER
JANSEN TRANSPORT;REMMELINKWEG 15;6996DH;DREMPT
GOUD INKOOP;MOLENDIJKSEWEG 8a;4401NM;YERSEKE
HEUVEL TRANSPORT BV;KERKWETERING 15;3421TS;OUDEWATER
SCHREUDER TRANSPORT BV;VIERLINGHSTRAAT 2;4251LC;WERKENDAM
GANZEBOER TRANSPORT;PAASBERG 5;7772DG;HARDENBERG
CAPE HOLLAND;ROMHOF 5;9411SB;BEILEN
VRIEZEMA BETONPRODUCTEN;HANDELSWEG 14a;9482WE;TYNAARLO
TRANSPORTBEDRIJF AAD VAN HERK BV;OUD CROMSTRIJENSEDIJK O.Z. 79;3286BM;KLAASWAAL
VOSSENBERG TRANSPORT BV;PIJLER 39;6446AX;BRUNSSUM
P.D.J. MULTI SERVICE'S;ZWINWEG 48;1761JK;ANNA PAULOWNA
THEO FABER BV;SNEKERTREKWEG 89;8912AB;LEEUWARDEN
PASTOOR BOUW;HUNZEWEG 28;9473TG;DE GROEVE
FREJO MACHINEFABRIEK;ONDERNEMERSWEG 13a;7451PK;HOLTEN
MY CAR ROERMOND;BROEKHIN-NOORD 72;6042EE;ROERMOND
J.S. STREEFLAND;VEERPAD 7;2924AP;KRIMPEN A/D IJSSEL
R. STORY ANTIEKBOERDERIJ;STEENKAMP 6;9461VC;GIETEN
TRUCKPOINT A67;DIAMANTWEG 63;5527LC;HAPERT
SEM GROENTJES INT.TRANSP.;HOLLANDER 16;1531NN;WORMER
SLUYTER LOGISTICS BV;BERGWEG-ZUID 98a;2661CV;BERGSCHENHOEK
LEHNKERING TRANSPORT BV;BERGWEG ZUID 100;2661CV;BERGSCHENHOEK
DUNCKER BEDRIJFSWAGENS;DROGE WIJMERSWEG 5-174;1693HP;WERVERSHOOF
AUTOMOBIELBEDRIJF NEEF&ZN;HERENWEG 115-116;1244PZ;ANKEVEEN
TTCS BV;VUURDOORNSTRAAT 10;6101MA;ECHT
J.VD PUTTEN HANDELSONDERN;NUENENSEWEG 101;5667BC;GELDROP
VAN DE PUT TRANSPORT VOF;PRINS HENDRIKERF 9;8071NT;NUNSPEET
PETER VAN IPEREN;STEEG 11;6017AS;THORN
TTD BEDRIJFSWAGENS BV;SEELENSTRAAT 3;6004RL;WEERT
MACHINEFABRIEK BIJLSMA BV;OOSTELIJKE INDUSTRIEWEG 5;8801JW;FRANEKER
SIG STUKADOORSSPECIALIST BV;GRONINGENWEG 2;2803PV;GOUDA
BUNNINK CREATIONS;ALBERT VAN 'T HARTWEG 64;2665MJ;BLEISWIJK
T.T.S.A. B.V.;WIELSTRAAT 65;4264AT;VEEN
EUROPE LOG.&KOERIERSDIENSTEN;A.J. ROMIJNWEG 47 b;9672AH;WINSCHOTEN
B. VAN REE AANNEMERSBEDR.;MECKLENBURGSTRAAT 13;3621GN;BREUKELEN
KRAKER TRAILERS AXEL BV;VAARTWIJK 7;4571SV;AXEL
WANO IMPORT EXPORT;GAFFEL 13;3891KC;ZEEWOLDE
TECKRU B.V.;DR. NUYENSSTRAAT 36;1617KC;WESTWOUD
DE BLAAUW BV;WALIKKERS 4;8584WS;HEMELUM
DB TRANSPORTEN;TINSTRAAT 7d;2984AN;RIDDERKERK
TRANS&OPSLAG E. VAN LEEUWEN;WAVER 12;1191KG;OUDEKERK A/D AMSTEL
VAN VULPEN B.V.;VAART 18;4206CG;GORINCHEM
B&S AUTOAANPASSING;MOLENWERF 19;1911DB;UITGEEST
WIM VAN BREDA B.V.;OUDENHOF 14;4191NW;GELDERMALSEN
PLUIMVEEBDRIJF VAN DIJK VOF;DEN HOEDWEG 1;6627KV;MAASBOMMEL
MDK CONTAINERS;HINDELAAN 10;3734CJ;DEN DOLDER
TECHNOPARTS ZAANSTAD BV;ZUIDEINDE 21a;1521DA;WORMERVEER
BRAMMER DRECHTSTEDEN BV;LEEGHWATERSTRAAT 29;3364AE;SLIEDRECHT
B & B FRYSLAN V.O.F.;BREITNERSTRAAT 5;9718ML;GRONINGEN
UTS VAN DER LEE;NUCLEONENWEG 23;3542CD;UTRECHT
OP-&OVERSLAG BEDR. LJHBURDAARD;HOOFDWEG 11;9112HG;BURDAARD
BROUWER VERPAKKINGEN BV;JUTESTRAAT 12;8281JS;GENEMUIDEN
ONDERHOUDSSERV. VAN REE;LEESONHOF 3;6744AX;EDERVEEN
EUROMASTER BANDENSERVICE BV;LUBECKSTRAAT 2;7418EC;DEVENTER
T&T PARTS TRADING B.V.;LODEWJIKSTRAAT 8;5652AC;EINDHOVEN
BART SMITS;SCHUTTERSWEG 10;5438AH;GASSEL
JENNISSEN HANDELSOND. VOF;OOSTERBROEKWEG 12;6247BN;GRONSVELD
WAGENBORG SLEEPDIENST BV;MARKTSTRAAT 10;9934CK;DELFZIJL
NOORDERPOORT AUTOMOTIVE;EUVELGUNNERWEG 25 A;9723CV;GRONINGEN
PREMIO RONDEN BANDEN;STROOTSWEG 22;7574RW;ENSCHEDE
FIRMA TRAKTOR;WARDER 19;1473PA;WARDER
AP CASING B.V.;VLIETERWEG 110;3925GD;SCHERPENZEEL
BARTELING BUIZEN;ADUARDERDIEPSTERWEG 14/1;9745EM;GRONINGEN
JEFFREY DE NIJS;DORPSSTRAAT 113;4634TB;WOENSDRECHT
MAN TRUCK & BUS BV;ZUIDERINSLAG 14;3833BP;LEUSDEN
MAN TRUCK & BUS BV *NIET ACTIEF;GESINKKAMPSTRAAT 17;7051HR;VARSSEVELD
MAN TRUCK & BUS BV;ZWETH 30-34;2991LH;BARENDRECHT
MAN TRUCK & BUS BV;SYDNEYSTRAAT 45;3047BP;ROTTERDAM
MAN TRUCK & BUS BV;RIJKSWEG WEST 59;9608PB;WESTERBROEK
MAN TRUCK & BUS BV;VAN LEEUWENHOEKWEG 2;7741LC;COEVORDEN
MAN TRUCK & BUS BV;ECOFACTORY 4;7325WC;APELDOORN
MAN TRUCK & BUS BV;DIAMANTSTAAT 30;7554TA;HENGELO (OV)
MAN TRUCK & BUS BV;ROOSWIJK 201;1951MD;VELSEN-NOORD
MAN TRUCK & BUS BV;BREDASEWEG 221;4705RN;ROOSENDAAL
MAN TRUCK & BUS BV;NW. BREDASE BAAN 24;4825BP;BREDA
MAN TRUCK & BUS BV;PLESMANSTRAAT 9;3905KZ;VEENENDAAL
MAN TRUCK & BUS BV;RAECTORWEG 27;3542AD;UTRECHT
MAN TRUCK & BUS BV;GRIENDWEG 10;4209DB;SCHELLUINEN
MAN TRUCK & BUS BV;DE STEENBOK 16;5215ME;DEN BOSCH
MAN TRUCK & BUS BV;JULES VERNEWEG 130;5015BM;TILBURG
MAN TRUCK & BUS BV;BIJSTERHUIZEN 11-18;6546AS;NIJMEGEN
MAN TRUCK & BUS BV;CELSIUSWEG 15;5928PR;VENLO
MAN TRUCK & BUS BV;TOMEIKENWEG 1;6161RB;GELEEN
MAN TRUCK & BUS BV;WATERWEIDEWEG 2;5995ML;KESSEL-EIK
MAN TRUCK & BUS BV;HANDELSTRAAT 37;6851EH;HUISSEN
MAN TRUCK & BUS BV;RADARSTRAAT 2;2525KC;DEN HAAG
MAN TRUCK & BUS BV;INDUSTRIEWEG 7A;4338PR;MIDDELBURG
MAN TRUCK & BUS BV;KELVINSTRAAT 55;2723RJ;ZOETERMEER
MAN TRUCK & BUS BV;WESTERVOORTSEDIJK 4;6827AS;ARNHEM
MAN TRUCK & BUS BV;INDUSTRIEWEG 107;6541TV;NIJMEGEN
MAN TRUCK & BUS BV;ONDERNEMINGSWEG 4M;2404HN;ALPHEN AAN DEN RIJN
LARIX DENTAL CONCEPTS BV;DE HAMMEN 26;5371MK;RAVENSTEIN
ANKER PALLETGROEP BV;TAYLORWEG 2;5466AE;VEGHEL
V. AALST KOELTRANSPORT VOF;SCHEPERSTRAAT 6A;5441PN;OEFFELT
ACHTERBERG& V DOORNSPEEK HANDEL&TRA;DOEIJENBURG 22;4024HE;ECK & WIEL
AGO TOTAAL TECHNIEK;INDUSTRIEPARK 11 A/B;5374CM;SCHAIJK
AGO MONTAGE & INSTALLATIE-;INDUSTRIEPARK 11 A-B;5374CM;SCHAIJK
AUTOSERVICE HEESCH BV;MIDDELSTE GROES 13;5384VV;HEESCH
FRUIT NL BV;DOKTER GUEPINLAAN 11;4032NH;OMMEREN
V. BOEKEL LAS-EN FITTERBEDRIJF;PAST.STRIJBOSCHSTRAAT 16;5373EJ;HERPEN
BERGERS ROLLEND MATERIEEL BV.;HUNNEPAD 6;5349BG;OSS
DE KLEIJN LOON- & GRONDVERZET;GREFFELINGSESTRAAT 59;6626AP;ALPHEN
GEBR. BEKKERS TRANSPORTEN BV;LEUNISDIJK 47E;5296KX;ESCH
BEVERS TRANSPORT BV.;DE VLONDER 110;5427DE;BOEKEL
VAN BAKEL LOGISTIEK BV.;TUBANTENWEG 22;5349BD;OSS
DACUBIN MONTAGE BV;LOOIERIJ 57;5142HN;WAALWIJK
VD CAMP BV AANNEMINGS- &;RANDMEER 18;5347JW;OSS
COPPENS LOON- EN;AMSTELEINDSTRAAT 150;5345HB;OSS
VAN DER DONK TRANSPORT BV;BRUGSTRAAT 70;5382JE;VINKEL
DORRESTIJN TRANSPORT;MOLENSTRAAT 22;4053HE;IJZENDOORN
TRANSPORTBEDRIJF VAN;WELYSESTRAAT 8;6669DH;DODEWAARD
AUTOGLAS TEAM;'T KOLKSKE 8;5371MX;RAVENSTEIN
JOOP ERVEN MEUBELMAKERIJ;GEFFENSESTRAAT 2;5384VK;HEESCH
ROODBEEN BV;DE VISSERT 2;5855EL;WELL (L)
R.W.J. ERMENS;RONDWEG 7;5825HT;OVERLOON
MESTGROOTHANDEL FERRO;DE HEINEN 20;5371MJ;RAVENSTEIN
GLOBAL LOGISTIEK;DRIELSEWEG 23;5321NC;HEDEL
GROBA VOEDERSYSTEMEN;COPERNICUSSTRAAT 12;6604CR;WIJCHEN
VAN GEMERT BV.;LANGENBOOMSEWEG 56;5451JL;MILL
ALLERS BEDRIJFSWAGENS OSS;KANAALSTRAAT 18;5347KM;OSS
DE GOEI EN ZN. LOONWERK EN;PR. JULIANAWEG 26;4191WK;GELDERMALSEN
VAN GRUNSVEN AUTOBANDEN BV;BURG. WOLTERSTRAAT 66;5384KW;HEESCH
GERRITS MACHINAAL TIMMERWERKEN;HULTENHOEK 2;5826AE;GROENINGEN
GERZON;DOEJENBURG 21;4024HE;ECK EN WIEL
GERRITS LANDBOUW-LOONBEDRIJF;KAPELLAAN 12;5438NN;GASSEL
GELDEN BETON B.V.;MAASDIJK 46;6629KD;APPELTERN
GRODA AGF.;ESTERWEG 7A;4185NM;EST (BIJ GELDERMALSEN)
CARAVANTRANSPORT HEURKENS;PALMSTRAAT 6;5374PC;SCHAIJK
MARK HUISMAN LOGISTICS;HOOGELANDSEWEG 21;6545AC;NIJMEGEN
VAN IERSEL BIEZENMORTEL;BIEZENMORTSELSESTRAAT 57;5074RJ;BIEZENMORTEL
JACOBS HETEREN BV.;DORPSSTRAAT 20;6666AH;HETEREN
TRANSPORTBEDRIJF THIJMEN V ITERSON;MEERSTEEG 14;4191NK;GELDERMALSEN
AARDAPPELHANDEL HOFMANS;VIERLINGBEEKSEWEG 73A;5825AV;OVERLOON
FROWEIN EXPORT;HERTRAKSESTRAAT 14;5435XM;ST. AGATHA
KBO RAVENSTEIN;STATIONSINGEL 1;5371BB;RAVENSTEIN
V. KEMENADE HANDELS- EN;STEENOVENSEWEG 6;5681BA;BEST
KANTERS LOONBEDRIJF BV;DUIFHUIZERWEG 8;5406TB;UDEN
VAN KESSEL FRUIT BV;PROVINCIALEWEG 143;5334JG;VELDDRIEL
VAN LITH TRANSPORT VOF;REEKSEWEG 20;5411RB;ZEELAND
VL GROEP;WAALKADE 34;5347KS;OSS
VD LEE STAALBOUW;MAXEND 55;5388TW;NISTELRODE
TRANSPORTBEDRIJF V LEUKEN;HOOGSCHAIJKSESTRAAT 17;5374EC;SCHAIJK
FRUITHANDEL DE VLISSING B.V.;DE LEEWEG 4;4024JK;ECK EN WIEL
MERKS AUTO-TRUCK REPARATIE;VOLTASTRAAT 6A;5928PD;VENLO
MICODO BV;BIJSTERHUIZEN 1134;6546AS;NIJMEGEN
W. VAN MAASAKKERS V.O.F.;BRUGGERHUIZEN 2 A;5595XA;LEENDE
HANDELSONDERNEMING PATRICK;HOMMELSTRAAT 34;6641KZ;BEUNINGEN
P.W.M. MANDEMAKERS;JAC.EKELMANSSTRAAT 37;5311BA;GAMEREN
TRANSPORT KASTEEL MEEUWEN;KASTEELLAAN 3;4268GM;MEEUWEN
AGRA SERVICE NABUURS;VLAKDIJK 4;5825HL;OVERLOON
AD VAN DEN OEVER WARENHUIS BV;ROGSTRAAT 29;5373AS;HERPEN
OPZEELAND TRANSPORT BV;FOKKERSHOEK 10;5473VD;HEESWIJK-DINTHER
AARDAPPELGROOTHANDEL JAC VD OORD;UILECOTENWEG 53;5324JT;AMMERZODEN
VARKENSHANDEL PETERS BV;KALKHOFSEWEG 16A;5443NA;HAPS
LOONBEDRIJF STEFAN PETERS;KALKHOFSEWEG 49;5443NB;HAPS
M. RENS RIJWIELHANDEL;MARCONISTRAAT 2;6604BX;WIJCHEN
P. VAN RIJN WAMEL BV;V. HEEMSTRAWEG 103;6659KE;WAMEL
RIHO TRANSPORT BV;VOORENSWEI 5;6669MX;DODEWAARD
LOONBEDRIJF V. RULO;HOGENBERGSEWEG 41;5298TS;LIEMPDE
ROYACKERS VERHUUR;HOF 2;5763BL;MILHEEZE
ROELOFS TRANSPORT;COPERNICUSSTRAAT 9;6604CR;WIJCHEN
RW INTERNATIONAL TRANSPORT BV;MANEGE 14;6662WC;ELST (G)
HOUTINDUSTRIE SCHIJNDEL BV;NIEUWE MOLENHEIDE 20;5482ZV;SCHIJNDEL
LOONBEDRIJF SOMERS VOF;KAMPWEG 4;5476VC;VORSTENBOSCH
J. THIJSSEN TRANSPORT;HOEVEWEG 7A;6613AD;BALGOY
GEERT THOMASSEN AUTOSCHADE;DE HAMMEN 37;5371MK;RAVENSTEIN
TOONEN TRANSPORT;OUDEDIJK 1;5409AA;ODILIAPEEL
V. TRIEST WEIHANDEL EN TRANSP.;TIELSESTRAAT 43;4021HB;MAURIK
HOUTHANDEL DE TOLBRUG B.V.;SPOORSTRAAT 1;4054MA;ECHTELD
KWEKERIJ DAROLIN;MOLENKAMPSWEG 16;5306VP;BRAKEL
TANDARTS EN IMPLANTOLOGIE;ROGSTRAAT 24;5373AV;HERPEN
TANDARTS EN IMPLANTOLOGIE;NIEUWSTRAAT 11;5371AH;RAVENSTEIN
URSELMANN TRANSPORT;RIJKSWEG 45A;5854AS;BERGEN (LIMBURG)
VERHOEVEN INT. TRANSPORT;JAGERSVELD 4;5405BW;UDEN
HENK VOS INT. TRANSPORT B.V.;SCHUTSBOOMSTRAAT 56;5374CD;SCHAIJK
DIESELSERVICE DE VOCHT;GROTESTRAAT 45;5371BW;HUISSELING
VD VEN'S LOONBEDRIJF;VERBINDINGSWEG 10;5411NP;ZEELAND
VICE-VERSA BV.;IJSSELSTRAAT 3;5347KG;OSS
M.J. VAN RIEL BV;ZEVENHEUVELENWEG 23;5048AN;TILBURG
WERKEN V/D-WITH;NIEUWE TIJNINGEN 90;5301DA;ZALTBOMMEL
WARSCO UNITS BV.;DE BULK 38;5371ML;RAVENSTEIN
F.A. VAN ZUTVEN;PATER VD ELSENLAAN 15;5462GG;VEGHEL
MEUBELMAKERIJ DE ZWAAN;SWOLGENSEWEG 36;5865AZ;TIENRAY
VAN ZOGGEL VERHUIZINGEN;NEDERHOF 7A;5258CB;BERLICUM
CHRIST V.ZOGGEL AUTOMOBIELBEDR;DE HAMMEN 10;5371MK;RAVENSTEIN
'T SCHILDERKE BV ROB VD BERG;BROEKSTRAAT 30;5373KE;HERPEN
SCHERPENHUIZEN GROENTE & FRUIT;DE KETEN 15;5651GJ;EINDHOVEN
VDB LOGISTICS VOF;KERKSTRAAT 19;6665CD;DRIEL
VERHOECKX GROOTH IN CHAMPIG BV;HOORZIK 25A;5331KJ;KERKDRIEL
THEUS VERVOORN TRANSPORT;MOLENKAMPSEWEG 27;5306XJ;BRAKEL
FIRMA BOGAERTS-V.NULAND;WALSTRAAT 3-5;5371AL;RAVENSTEIN
G. VERNOOY RENTAL & TRADING BV;DOEJENBURG 35;4024HE;ECK EN WIEL
COR VAN SCHAIJK AANN.&TRANSP.;BERGHEMSEWEG 13;5388PT;NISTELRODE
HENCKENS AANHANGWAGENS BV;DE OUDE MOLEN 3;5825KA;OVERLOON
GEBR. VAN BRUCHEM METAALHANDEL;UNIEWEG 7;5301KS;ZALTBOMMEL
HOEFNAGEL TECHNICAL SERVICES;BENDELAAR 1;5371LK;RAVENSTEIN
VAN HAPPEN AGGREGATEN;HUUFKES 85;5674TL;NUENEN
AANNEMERSBEDR. J.M. HOL;GROENEWEG 25;4197HD;BUURMALSEN
COR VAN DER SPEK;MAASDIJK 82;5307HR;POEDEROIJEN
SCHREUDERS HANDEL EN TRANSPORT;WEITJESWEG 56;5306XX;BRAKEL
BERT HOEKSTRA EN ZN.;BEEMSTRAAT 122;5311AE;GAMEREN
VOET TRANSPORT;LAAGSTRAAT 2;5371L;DEURSEN
STRAALBEDRIJF V MAANEN;STAYERHOFWEG 8;5861EJ;WANSSUM
P.KLOP KWEKERIJ;APPELWEG 8;5306AE;BRAKEL
LOON EN GRONDVERZETBEDR.KIEVIT;POLSTEEG 3;4158LD;DEIL
AD BOUWMAN TUINPLANTEN GROOTH.;DE KROMME NOL 1;4261AN;WIJK EN AALBURG
HVR SHOW - EQUIPMENT;DE HAMMEN 2;5371MK;RAVENSTEIN
P. UIJEN & CO VOF;MOLENSTRAAT 53;5373AM;HERPEN
HANS V.D. LINDEN;HOMOETSTRAAT 23;4024HG;ECK EN WIEL
BATRO;SPAARPOT OOST 18;5667K;GELDROP
GEBR.V.D.WETERING;DOMMELSTRAAT 47;5347JK;OSS
